,dataset,auroc,accuracy,balanced_accuracy,f1_score,prec,rec,auprc,auroc_y_no_noise,accuracy_y_no_noise,balanced_accuracy_y_no_noise,f1_score_y_no_noise,prec_y_no_noise,rec_y_no_noise,auprc_y_no_noise,run,automl,exp_name,y_preds,y_proba,y_des
396,digen9_7270,0.9651862668224225,0.8916,0.891848426173369,0.8905050505050505,[0.60737006 0.60732293 0.60739585 ... 1.         1.         1.        ],"[1.00000000e+00 9.99802372e-01 9.99802372e-01 ... 3.95256917e-04
 1.97628458e-04 0.00000000e+00]",0.9675246724025568,0.9651862668224225,0.8916,0.891848426173369,0.8905050505050505,[0.60737006 0.60732293 0.60739585 ... 1.         1.         1.        ],"[1.00000000e+00 9.99802372e-01 9.99802372e-01 ... 3.95256917e-04
 1.97628458e-04 0.00000000e+00]",0.9675246724025568,9,autosklearn2,autosklearn2_1200s,[1 0 0 ... 1 1 0],[0.95874249 0.08128528 0.42305537 ... 0.90477936 0.84112052 0.06079442],[0.95874249 0.08128528 0.42305537 ... 0.90477936 0.84112052 0.06079442]
397,digen20_5191,0.9998872383717221,0.995,0.9950037278538302,0.9949859606899317,[0.98263957 0.98263615 0.98283008 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799237e-01 9.99799237e-01 ... 4.01525798e-04
 2.00762899e-04 0.00000000e+00]",0.9998847542725747,0.9998872383717221,0.995,0.9950037278538302,0.9949859606899317,[0.98263957 0.98263615 0.98283008 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799237e-01 9.99799237e-01 ... 4.01525798e-04
 2.00762899e-04 0.00000000e+00]",0.9998847542725747,9,autosklearn2,autosklearn2_1200s,[0 0 0 ... 0 1 1],[0.10674909 0.07558701 0.0410993  ... 0.06921029 0.94214848 0.9682136 ],[0.10674909 0.07558701 0.0410993  ... 0.06921029 0.94214848 0.9682136 ]
398,digen18_5578,0.9922577743703507,0.946,0.9457911345079593,0.9443298969072165,[0.75092081 0.75088258 0.75099785 ... 1.         1.         1.        ],"[1.00000000e+00 9.99795626e-01 9.99795626e-01 ... 4.08747190e-04
 2.04373595e-04 0.00000000e+00]",0.9922519093416451,0.9922577743703507,0.946,0.9457911345079593,0.9443298969072165,[0.75092081 0.75088258 0.75099785 ... 1.         1.         1.        ],"[1.00000000e+00 9.99795626e-01 9.99795626e-01 ... 4.08747190e-04
 2.04373595e-04 0.00000000e+00]",0.9922519093416451,9,autosklearn2,autosklearn2_1200s,[0 1 1 ... 0 1 0],[0.05356557 0.9989734  0.97178218 ... 0.00118656 0.83457648 0.08603806],[0.05356557 0.9989734  0.97178218 ... 0.00118656 0.83457648 0.08603806]
399,digen30_4426,0.9936647470579039,0.9562,0.9561653330850018,0.9556859571023877,[0.76095618 0.76091954 0.76103617 ... 1.         1.         1.        ],"[1.00000000e+00 9.99798631e-01 9.99798631e-01 ... 4.02738623e-04
 2.01369311e-04 0.00000000e+00]",0.9938033641884674,0.9936647470579039,0.9562,0.9561653330850018,0.9556859571023877,[0.76095618 0.76091954 0.76103617 ... 1.         1.         1.        ],"[1.00000000e+00 9.99798631e-01 9.99798631e-01 ... 4.02738623e-04
 2.01369311e-04 0.00000000e+00]",0.9938033641884674,9,autosklearn2,autosklearn2_1200s,[0 1 0 ... 0 1 0],[0.01606894 0.89137399 0.00947219 ... 0.05753712 0.99848315 0.00593199],[0.01606894 0.89137399 0.00947219 ... 0.05753712 0.99848315 0.00593199]
400,digen8_4426,0.9986814614984476,0.9863,0.9865572468736672,0.9866562773935912,[0.52855829 0.52851012 0.52856413 ... 1.         1.         1.        ],"[1.00000000e+00 9.99806689e-01 9.99806689e-01 ... 3.86622849e-04
 1.93311425e-04 0.00000000e+00]",0.9990208463909213,0.9986814614984476,0.9863,0.9865572468736672,0.9866562773935912,[0.52855829 0.52851012 0.52856413 ... 1.         1.         1.        ],"[1.00000000e+00 9.99806689e-01 9.99806689e-01 ... 3.86622849e-04
 1.93311425e-04 0.00000000e+00]",0.9990208463909213,0,autosklearn,autosklearn_1200s,[0 1 1 ... 1 1 0],"[1.48379473e-04 9.99971101e-01 9.99938512e-01 ... 9.99964817e-01
 9.99959824e-01 5.59480016e-04]","[1.48379473e-04 9.99971101e-01 9.99938512e-01 ... 9.99964817e-01
 9.99959824e-01 5.59480016e-04]"
401,digen32_5191,0.9997001994123909,0.997,0.9970025141249277,0.9970011995201921,[0.99106788 0.99106611 0.99126291 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799720e-01 9.99799720e-01 ... 4.00560785e-04
 2.00280393e-04 0.00000000e+00]",0.9996472694166519,0.9997001994123909,0.997,0.9970025141249277,0.9970011995201921,[0.99106788 0.99106611 0.99126291 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799720e-01 9.99799720e-01 ... 4.00560785e-04
 2.00280393e-04 0.00000000e+00]",0.9996472694166519,0,autosklearn,autosklearn_1200s,[0 0 0 ... 1 0 0],[0.0049283  0.00530133 0.00553411 ... 0.93267147 0.00455092 0.00619977],[0.0049283  0.00530133 0.00553411 ... 0.93267147 0.00455092 0.00619977]
402,digen39_5578,0.9959435174038511,0.9549,0.9548725311184199,0.9532594051197015,[0.52539699 0.52534708 0.52540234 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799840e-01 9.99799840e-01 ... 4.00320256e-04
 2.00160128e-04 0.00000000e+00]",0.9963694231545634,0.9970777336996034,0.956,0.955900003100028,0.954347374974061,[0.86922406 0.86920126 0.86935287 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799398e-01 9.99799398e-01 ... 4.01203611e-04
 2.00601805e-04 0.00000000e+00]",0.997079290724405,0,autosklearn,autosklearn_1200s,[0 1 1 ... 1 0 1],"[1.43650263e-02 9.96790553e-01 9.77721034e-01 ... 9.99530063e-01
 4.30794142e-04 9.99327989e-01]","[1.43650263e-02 9.96790553e-01 9.77721034e-01 ... 9.99530063e-01
 4.30794142e-04 9.99327989e-01]"
403,digen36_466,0.9570146999274483,0.9112,0.9132536426418849,0.914664616567365,[0.53762257 0.5375763  0.5376301  ... 1.         1.         1.        ],"[1.00000000e+00 9.99813884e-01 9.99813884e-01 ... 3.72231528e-04
 1.86115764e-04 0.00000000e+00]",0.9723528447211249,0.9892881743742773,0.9421,0.9420961154601566,0.9424624863360826,[0.69121891 0.69117647 0.69127148 ... 1.         1.         1.        ],"[1.00000000e+00 9.99801193e-01 9.99801193e-01 ... 3.97614314e-04
 1.98807157e-04 0.00000000e+00]",0.9896815804968325,0,autosklearn,autosklearn_1200s,[0 1 0 ... 0 0 1],[0.28201147 0.9991702  0.01968454 ... 0.07032631 0.01579759 0.99151648],[0.28201147 0.9991702  0.01968454 ... 0.07032631 0.01579759 0.99151648]
404,digen13_769,0.948097843327786,0.9038,0.904237789348435,0.9045824241221979,[0.51360272 0.51355407 0.51360544 ... 1.         1.         1.        ],"[1.00000000e+00 9.99805258e-01 9.99805258e-01 ... 3.89483934e-04
 1.94741967e-04 0.00000000e+00]",0.9538793399246356,0.9576315645364218,0.9126,0.9126406526014299,0.9123721676358533,[0.50411151 0.50406178 0.50411234 ... 1.         1.         1.        ],"[1.00000000e+00 9.99801074e-01 9.99801074e-01 ... 3.97851601e-04
 1.98925801e-04 0.00000000e+00]",0.9583999053501113,0,autosklearn,autosklearn_1200s,[1 0 0 ... 0 1 1],[0.69326035 0.33664771 0.39290309 ... 0.34656438 0.53216035 0.76007018],[0.69326035 0.33664771 0.39290309 ... 0.34656438 0.53216035 0.76007018]
405,digen35_4426,0.9985690381258907,0.986,0.9860282461449776,0.9856174234641464,[0.76898734 0.76895078 0.76907249 ... 1.         1.         1.        ],"[1.00000000e+00 9.99794239e-01 9.99794239e-01 ... 4.11522634e-04
 2.05761317e-04 0.00000000e+00]",0.9983287777057788,0.9985690381258907,0.986,0.9860282461449776,0.9856174234641464,[0.76898734 0.76895078 0.76907249 ... 1.         1.         1.        ],"[1.00000000e+00 9.99794239e-01 9.99794239e-01 ... 4.11522634e-04
 2.05761317e-04 0.00000000e+00]",0.9983287777057788,0,autosklearn,autosklearn_1200s,[1 1 1 ... 1 1 0],[0.99103353 0.99907527 0.63614174 ... 0.9987081  0.99889804 0.00143397],[0.99103353 0.99907527 0.63614174 ... 0.9987081  0.99889804 0.00143397]
